Page title,UK Fees,International Fees,Duration,Campus,description,Url
"Big Data Technologies MSc - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Cavendish, Central London","Recent advances in technology, along with decreasing hardware costs, led to the development and creation of smart devices and applications that pervade most aspects of daily life. The adoption and use of such technologies and applications in an ever-expanding variety of domains, including social media, entertainment, telecommunications, e-commerce, medical records and e-health, resulted in a rapid explosion in the amount and variety of generated data and to the need to store and analyse this data.",https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/big-data-technologies-msc
"Digital Marketing Management MSc - Courses | University of Westminster, London","£16,700","£19,500",1 year,"Marylebone, Central London","The world of marketing has been transformed by digital technology, making it easier and cheaper to target customers and track buyer behaviour online. Employers need graduates ready to work in data analysis, marketing automation, user experience and content creation, some of the key skills you’ll learn on the Digital Marketing Management MSc.",https://www.westminster.ac.uk/marketing-courses/2025-26/september/full-time/digital-marketing-management-msc
"Data Science and Analytics MSc - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Cavendish, Central London","This course (previously Business Intelligence and Analytics MSc) addresses the need to propel information-gathering and data organisation, and exploit potential information and knowledge hidden in routinely collected data to improve decision-making. The course stretches the artificial intelligence (AI), machine learning (ML) and decision science themes to business intelligence, data science and business analytics.",https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/data-science-and-analytics-msc
"International Development Management MSc - Courses | University of Westminster, London","£11,700","£13,500",1 year,"Marylebone, Central London","With momentum around the United Nation’s (UN) sustainable development goals and the rise of a collaborative effort to reduce or eliminate poverty in developing countries, never has there been a more exciting time to get involved with international development. Our course prepares you to make a positive impact on the world.",https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-development-management-msc
"Logistics and Supply Chain Management MSc - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Marylebone, Central London",The Logistics and Supply Chain Management MSc has been designed to develop your ability to carry out advanced analysis and research in the field of logistics and supply chain management within a global context. The MSc course has been running since 1998 and is offered by the School of Architecture and Cities.,https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/full-time/logistics-and-supply-chain-management-msc
"Entertainment Law LLM - Courses | University of Westminster, London","£12,700","£17,500",1 year,"Regent, Central London","Entertainment, in forms such as music, film, media, sports and the arts, is a large part of life globally. It's a combination of society, popular culture and commerce, and the interaction of these with law produces an exciting, contemporary subject. It's an area deeply affected by technological progress as well as business adaptation.",https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/entertainment-law-llm
"Entrepreneurship, Innovation and Enterprise Development MSc - Courses | University of Westminster, London","£16,700","£19,500",1 year,"Marylebone, Central London","On our exciting Master’s programme, you’ll experience first-hand what it’s like to innovate, solving real-life problems and coming up with smart solutions. Inspired by serial entrepreneurs and our academic experts, you will cultivate your entrepreneurial mindset, improving your ability to identify viable business opportunities – whether you launch your own enterprise or support others to do so.",https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/entrepreneurship-innovation-and-enterprise-development-msc
"Finance and Accounting MSc - Courses | University of Westminster, London","£14,700","£19,500",1 year,"Marylebone, Central London","Our Finance and Accounting MSc is designed to equip you with the advanced skills, knowledge, and expertise necessary for a successful career in the business and finance sectors. This practical, fully accredited, and professionally oriented program will prepare you to become a qualified chartered accountant or a corporate services specialist. Upon completion, students will benefit from ACCA and CIMA exemptions and can utilise the Bloomberg data in our Financial Markets Suite (FMS) to analyse real-world financial scenarios.",https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/finance-and-accounting-msc
"Fashion Business Management MA - Courses | University of Westminster, London","£11,700","£15,500",1 year,"Harrow, North-West London","This course will equip you with the strategic decision-making, leadership and problem-solving skills you'll need to become an entrepreneurial and visionary fashion business leader of the future. It continues the University’s fashion tradition of a commitment to excellence in developing highly effective, talented and committed professional fashion graduates.",https://www.westminster.ac.uk/fashion-courses/2025-26/september/full-time/fashion-business-management-ma
"Film, Television and Moving Image MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Harrow, North-West London","Our innovative Film, Television and Moving Image MA builds on its prestigious heritage as one of the longest-running degree programmes of its kind in the UK. We aim to equip you with wide-ranging skills, knowledge and critical awareness to meet your career aspirations in sectors in which moving images play a central role. Our curriculum incorporates an exciting variety of learning and teaching activities designed to foster your capacity for researching and rigorously analysing different aspects of film, television and moving images. You’ll have the opportunity to develop key skills for communicating about and with moving images across a range of contexts and platforms.",https://www.westminster.ac.uk/film-and-television-courses/2025-26/september/full-time/film-television-and-moving-image-ma
"Finance (International Finance) MSc - Courses | University of Westminster, London","£14,700","£15,500",1 year,"Marylebone, Central London","Our MSc Finance (International Finance pathway) will equip you with the practical and technical skills needed to work anywhere in the world, as a self-employed financial consultant, financial analyst/manager or venture capitalist in a multinational company, financial institution or government setting.",https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/finance-international-finance-msc
"FinTech with Business Analytics MSc - Courses | University of Westminster, London","£14,700","£19,500",1 year,"Marylebone, Central London",This course has been designed to prepare graduates and professionals with the skills to launch a career in FinTech or business analytics.,https://www.westminster.ac.uk/accounting-and-finance-data-science-and-informatics-courses/2025-26/september/full-time/fintech-with-business-analytics-msc
"Business of Film MA - Courses | University of Westminster, London","£16,700","£19,250",1 year,"Regent, Central London",This course aims to equip students with essential knowledge and skills in the business of film and we are delivering it with the BFI (British Film Institute) as our industry partner.,https://www.westminster.ac.uk/business-and-management-film-and-television-courses/2025-26/september/full-time/business-of-film-ma
"Global Media MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Harrow, North-West London","From Al Jazeera to Hollywood, from Disney to China Central TV, Amazon, Alphabet/Google, Netflix, Alibaba and Tencent, the media increasingly operate in a global context. This course offers a comprehensive interdisciplinary approach to global media, and is designed for those who work in, or want to work in, the media industries.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/global-media-ma
"Global Development MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Regent, Central London","The Global Development MA offers you an interdisciplinary, practical, skill-based training to become an engaged, ethical development thinker and practitioner upon graduation.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/global-development-ma
"Global Public Health with Data Science MSc - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Cavendish, Central London","The Global Public Health with Data Science MSc is a unique course bringing new insights to public health. As we enter a new era of healthcare, combining global public health with data science can support decision making, advance evidence-based policies and drive strategies in combating diseases by analysing data on omics, health, lifestyle and the environment.",https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/global-public-health-with-data-science-msc
"Global Public Health Nutrition MSc - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Cavendish, Central London",Our Global Public Health Nutrition MSc will give you the specialist scientific knowledge and practical skills to take an active role in global public health nutrition in a range of different settings.,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/global-public-health-nutrition-msc
"Health and Wellbeing with Professional Experience MSc - Courses | University of Westminster, London","£10,700","£17,500",2 years,"Cavendish, Central London","Good health and wellbeing are increasingly becoming a focus for governments, policy makers and researchers, as we face diverse and multifaceted challenges in the 21st century, and careers in health and wellbeing are growth areas in our economy.",https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/health-and-wellbeing-with-professional-experience-msc
"Health Psychology MSc - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Cavendish, Central London","Health psychology plays a key role in improving the health and wellbeing of the population. Our Health Psychology MSc, based in the heart of London, was one of the first Master's in Health Psychology and has been accredited by the British Psychological Society (BPS) since 1999. It includes an innovative portfolio of assessments geared to developing transferable skills, and relating directly to the world of work. Our course also provides the opportunity to gain work experience and apply your knowledge in a health psychology setting, while considering future career plans.",https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/health-psychology-msc
"Human Resource Management MA - Courses | University of Westminster, London","£11,700","£14,500",1 year,"Marylebone, Central London","In a turbulent, rapidly changing business environment, the demand for HR professionals who can strategically manage and develop staff potential – while overcoming issues such as redundancy, flexible working and the recent challenges of furloughed staff and social distancing – has never been more fundamental to business success.",https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/human-resource-management-ma
"International Business and Management MSc - Courses | University of Westminster, London","£16,700","£17,500",1 year,"Marylebone, Central London",The MSc International Business and Management course allows learners to dive into global business right in the heart of vibrant London.,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-business-and-management-msc
"International Commercial and Corporate Law LLM - Courses | University of Westminster, London","£12,700","£17,500",1 year,"Regent, Central London","The International Commercial and Corporate Law LLM balances the best of a rigorous, traditional legal education with a contemporary perspective. Our areas of specialisation address today’s most important business and legal challenges, including the study of commercial relationships in the international arena, the role and impact of electronic commerce, and the gradual harmonisation of international commercial law.",https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/international-commercial-and-corporate-law-llm
"International and Commercial Dispute Resolution Law LLM - Courses | University of Westminster, London","£12,700","£17,500",1 year,"Regent, Central London","Our International and Commercial Dispute Resolution Law LLM (ICDRL) is for anyone wishing to demonstrate a commitment to contentious law in public and private international and commercial legal contexts. The taught part of the course includes modules which reflect the three main forms of dispute resolution process, namely, adjudication (litigation and arbitration), alternative dispute resolution (ADR – principally mediation), and negotiation.",https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/international-and-commercial-dispute-resolution-law-llm
"Economic Policy and Analysis MSc - Courses | University of Westminster, London","£11,700","£13,500",1 year,"Marylebone, Central London","Economics is more relevant than ever to understand contemporary events in the global economy and provide the tools and techniques for business and governments to address the issues they face. Reflecting the needs of both private and public sector employers, our highly practical MSc prepares you to assess business problems, interpret public policy and effectively communicate the insights that economic analysis can provide.",https://www.westminster.ac.uk/economics-courses/2025-26/september/full-time/economic-policy-and-analysis-msc
"International Human Resource Management MA - Courses | University of Westminster, London","£11,700","£14,500",1 year,"Marylebone, Central London","Accredited by the Chartered Institute of Personnel Development (CIPD), this specialist course focuses on international human resource management (HRM). As globalisation encourages companies to operate and trade in multiple locations, and provides more opportunities for staff to work abroad, managing and developing people has never been more critical – or complex. On our MA, you’ll learn to appreciate the unique challenges of international HRM – from the cultural, legal and economic differences to remote relationship building.",https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-human-resource-management-ma
"International Communication - Liaison and Advocacy MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Regent, Central London","Our International Communication, Liaison and Advocacy MA is a dynamic, pioneering interdisciplinary course, which meets the demand for greater professionalism in interpersonal and inter-institutional bilingual communication in an international arena. We focus on enhancing your skills as a communicator and facilitator of communication. This can be as an advocate, as a mediator, communication strategist, intermediary or communication facilitator. Grounded in the latest international communications theories and using real-life simulations, you'll learn to locate and analyse resources, pre-empt communications challenges and develop strategies to overcome obstacles to successful interaction.",https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/international-communication-liaison-and-advocacy-ma
"International Media Business MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Harrow, North-West London",The course is designed for recent graduates seeking a career in traditional and new media organisations. It provides a combination of business and media skills designed to equip you to take up an entry-level position in today’s media organisations.,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/international-media-business-ma
"International Law LLM - Courses | University of Westminster, London","£12,700","£17,500",1 year,"Regent, Central London","With globalisation, international law is becoming increasingly important, and our International Law LLM prepares you for a future career in the international arena. Our teaching team is composed of world-renowned scholars who are leading the way in their respective subjects, including – but not limited to – international human rights law, the law of armed conflict, development law, energy and climate change law, international cyber security law, refugee law, the law of the sea, international courts and tribunals. In previous years, our teaching team organised study visits to international organisations and to international courts in London and The Hague.",https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/international-law-llm
"International Relations MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Regent, Central London","The International Relations MA offers you an innovative, disciplined and intellectually challenging framework for studying issues and perspectives within international relations.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-ma
