Page title,UK Fees,International Fees,Duration,Campus,description,Url
"Entertainment Law LLM - Courses | University of Westminster, London","£6,250","£8,500",2 years,"Regent, Central London","Entertainment, in forms such as music, film, media, sports and the arts, is a large part of life globally. It's a combination of society, popular culture and commerce, and the interaction of these with law produces an exciting, contemporary subject. It's an area deeply affected by technological progress as well as business adaptation.",https://www.westminster.ac.uk/law-courses/2024-25/january/part-time-day-evening/entertainment-law-llm
"Human Resource Management MA - Courses | University of Westminster, London","£5,750","£7,000",2 years,"Marylebone, Central London","In a turbulent, rapidly changing business environment, the demand for HR professionals who can strategically manage and develop staff potential – while overcoming issues such as redundancy, flexible working and the recent challenges of furloughed staff and social distancing – has never been more fundamental to business success.",https://www.westminster.ac.uk/business-and-management-courses/2024-25/january/part-time-day-evening/human-resource-management-ma
"International Commercial and Corporate Law LLM - Courses | University of Westminster, London","£6,250","£8,500",2 years,"Regent, Central London","The International Commercial and Corporate Law LLM balances the best of a rigorous, traditional legal education with a contemporary perspective. Our areas of specialisation address today’s most important business and legal challenges, including the study of commercial relationships in the international arena, the role and impact of electronic commerce, and the gradual harmonisation of international commercial law.",https://www.westminster.ac.uk/law-courses/2024-25/january/part-time-day-evening/international-commercial-and-corporate-law-llm
"International Relations MA - Courses | University of Westminster, London","£5,250","£8,500",2 years,"Regent, Central London","The International Relations MA offers you an innovative, disciplined and intellectually challenging framework for studying issues and perspectives within international relations.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2024-25/january/part-time-day/international-relations-ma
"International and Commercial Dispute Resolution Law LLM - Courses | University of Westminster, London","£6,250","£8,500",2 years,"Regent, Central London","Our International and Commercial Dispute Resolution Law LLM (ICDRL) is for anyone wishing to demonstrate a commitment to contentious law in public and private international and commercial legal contexts. The taught part of the course includes modules which reflect the three main forms of dispute resolution process, namely, adjudication (litigation and arbitration), alternative dispute resolution (ADR – principally mediation), and negotiation.",https://www.westminster.ac.uk/law-courses/2024-25/january/part-time-day-evening/international-and-commercial-dispute-resolution-law-llm
"International Relations and Democratic Politics MA - Courses | University of Westminster, London","£5,250","£8,500",2 years,"Regent, Central London","The International Relations and Democratic Politics MA provides an advanced critical and comprehensive understanding of the forces shaping inter-state relations and global politics. Drawing on key theoretical interpretations of democratic politics, the course examines various principles of democratic thinking (ranging from pluralism and civil society to egalitarianism and human rights), and explores the interplay between theory and practice in old and new democracies and in processes of global governance.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2024-25/january/part-time-day/international-relations-and-democratic-politics-ma
"International Relations and Security MA - Courses | University of Westminster, London","£5,250","£8,500",2 years,"Regent, Central London","The question of security now dominates contemporary international politics. Issues such as the 'War on Terror', pre-emptive self-defence and humanitarian intervention constitute seminal international concerns that have implications for all states and all peoples.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2024-25/january/part-time-day/international-relations-and-security-ma
"Museums, Galleries and Contemporary Culture MA - Courses | University of Westminster, London","£4,250","£8,500",2 years,"Regent, Central London","The Museums, Galleries and Contemporary Culture MA examines how cultural institutions are changing to meet the needs of the 21st century. The MA is for you if you're pursuing a career as a museum professional, curator, or arts organiser. It will equip you with a critical understanding of the key conceptual and practical skills in curatorship, museology and museum management necessary for you to succeed in your professional life.",https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2024-25/january/part-time-day/museums-galleries-and-contemporary-culture-ma
"Art and Visual Culture MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","The Art and Visual Culture MA is part of the Cultural and Literary Studies Suite, a cluster of four MAs that bring together academics, curators and practitioners who share a commitment to investigating modern and contemporary culture from aesthetic, critical, literary, and experiential perspectives. You'll share classes with students from the Cultural and Critical Studies MA, the English Literature: Modern and Contemporary Fictions MA, and the Museum, Galleries and Contemporary Culture MA, joining a fruitful and intellectually-rigorous environment designed to facilitate the sprouting of interdisciplinary thinking. As part of our Suite, you may also choose an option module from the other three MA programmes (what is referred to as an ‘elective’ module), a fantastic opportunity to explore a facet of culture outside of your chosen MA programme.",https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2024-25/january/part-time-day/art-and-visual-culture-ma
"Creative Writing: Writing the City MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","The Creative Writing: Writing the City MA is the only Creative Writing MA course to focus entirely on the city of London. It will allow you to explore the city as subject matter from a range of perspectives and across all genres. It will also give you a theoretical and practical platform from which to develop your understanding, and become part of the London writing scene.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2024-25/january/part-time-day/creative-writing-writing-the-city-ma
"Cultural and Critical Studies MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","The Cultural and Critical Studies MA is part of the Cultural and Literary Studies Suite, a cluster of four MAs that bring together academics, curators and practitioners who share a commitment to investigating modern and contemporary culture from aesthetic, critical, literary and experiential perspectives. You'll share classes with students from the Art and Visual Culture MA, the English Literature: Modern and Contemporary Fictions MA and the Museum, Galleries and Contemporary Culture MA, joining a fruitful and intellectually rigorous environment designed to facilitate interdisciplinary thinking.",https://www.westminster.ac.uk/art-design-and-visual-culture-english-and-creative-writing-courses/2024-25/january/part-time-day/cultural-and-critical-studies-ma
"Cyber Security and Forensics MSc - Courses | University of Westminster, London","£1,200","£1,900",2 years,"Cavendish, Central London","Our Cyber Security and Forensics MSc has been designed with a high degree of relevance to the industry’s needs. This course is also fully certified by the National Cyber Security Centre (NCSC), which is a sign of national excellence.",https://www.westminster.ac.uk/computer-science-and-engineering-courses/2024-25/january/part-time-day/cyber-security-and-forensics-msc
"Big Data Technologies MSc - Courses | University of Westminster, London","£1,200","£1,900",2 years,"Cavendish, Central London","Recent advances in technology, along with decreasing hardware costs, led to the development and creation of smart devices and applications that pervade most aspects of daily life. The adoption and use of such technologies and applications in an ever-expanding variety of domains, including social media, entertainment, telecommunications, e-commerce, medical records and e-health, resulted in a rapid explosion in the amount and variety of generated data and to the need to store and analyse this data.",https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2024-25/january/part-time-day/big-data-technologies-msc
"Data Science and Analytics MSc - Courses | University of Westminster, London","£1,200","£1,900",2 years,"Cavendish, Central London","This course (previously Business Intelligence and Analytics MSc) addresses the need to propel information-gathering and data organisation, and exploit potential information and knowledge hidden in routinely collected data to improve decision-making. The course stretches the artificial intelligence (AI), machine learning (ML) and decision science themes to business intelligence, data science and business analytics.",https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2024-25/january/part-time-day/data-science-and-analytics-msc
"Global Development MA - Courses | University of Westminster, London","£5,250","£7,500",2 years,"Regent, Central London","The Global Development MA offers you an interdisciplinary, practical, skill-based training to become an engaged, ethical development thinker and practitioner upon graduation.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2024-25/january/part-time-day/global-development-ma
"International Communication - Liaison and Advocacy MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","Our International Communication, Liaison and Advocacy MA is a dynamic, pioneering interdisciplinary course, which meets the demand for greater professionalism in interpersonal and inter-institutional bilingual communication in an international arena. We focus on enhancing your skills as a communicator and facilitator of communication. This can be as an advocate, as a mediator, communication strategist, intermediary or communication facilitator. Grounded in the latest international communications theories and using real-life simulations, you'll learn to locate and analyse resources, pre-empt communications challenges and develop strategies to overcome obstacles to successful interaction.",https://www.westminster.ac.uk/languages-courses/2024-25/january/part-time-day/international-communication-liaison-and-advocacy-ma
"International Law LLM - Courses | University of Westminster, London","£6,250","£8,500",2 years,"Regent, Central London","With globalisation, international law is becoming increasingly important, and our International Law LLM prepares you for a future career in the international arena. Our teaching team is composed of world-renowned scholars who are leading the way in their respective subjects, including – but not limited to – international human rights law, the law of armed conflict, development law, energy and climate change law, international cyber security law, refugee law, the law of the sea, international courts and tribunals. In previous years, our teaching team organised study visits to international organisations and to international courts in London and The Hague.",https://www.westminster.ac.uk/law-courses/2024-25/january/part-time-day/international-law-llm
"English Literature: Modern and Contemporary Fictions MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","Our English Literature: Modern and Contemporary Fictions MA gives you the opportunity to study English literature in a modern university environment, while taking advantage of London's rich cultural life. You'll examine literary texts in the wider context of cultural production and relate them to their social, historical and political circumstances.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2024-25/january/part-time-day/english-literature-modern-and-contemporary-fictions-ma
"English Language and Linguistics MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","The English Language and Linguistics MA explores the linguistic features of English from theoretical, applied, synchronic and diachronic perspectives. Our course will enable you to understand and evaluate critically a wide spectrum of ideas in the study of the English language, particularly in connection with linguistic variation in terms of space, time, communicative context and linguistic contact. It will also equip you with the intellectual perspectives and scholarly skills to conduct independent research.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2024-25/january/part-time-day/english-language-and-linguistics-ma
"English Language and Literature MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","The English Language and Literature MA explores the interconnections between language and literature. Our course will provide you with a thorough understanding of the linguistic features of English from a wide range of perspectives (theoretical and applied, synchronic and diachronic), as well as leading you to explore a wide array of texts in connection with the social, historical and political circumstances from which they emerge. It will also equip you with the intellectual perspectives and scholarly skills to conduct independent research.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2024-25/january/part-time-day/english-language-and-literature-ma
"Diplomacy and Global Politics MA - Courses | University of Westminster, London","£5,250","£8,500",2 years,"Regent, Central London","Global issues and challenges, such as armed conflicts, terrorism, global warming and environmental degradation, economic inequality and injustice, migration, religious and cultural discord, have gained increased prominence, as have the range of actors and stakeholders at global, national and local level engaged in diplomatic activity to address them. Negotiated solutions are increasingly in demand and so are professionals with the knowledge and skills to engage effectively in diplomatic activity in a diverse and contested world.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2024-25/january/part-time-day/diplomacy-and-global-politics-ma
"Professional Writing MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","The Professional Writing MA is designed for those who want to turn their love of words and writing into a dynamic and fulfilling career. It will give you the skills, motivation, networks and connections to work across a wide variety of industries – in publishing, journalism, public relations, advertising, as literary agents, copywriters and copyeditors. It will also allow you to explore the history and future of writing and the writing industries from a variety of perspectives, and to develop your own interests and specialisms.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2024-25/january/part-time-day/professional-writing-ma
"Teaching English to Speakers of Other Languages (TESOL) MA - Courses | University of Westminster, London","£4,250","£7,500",2 years,"Regent, Central London","Our Teaching English to Speakers of Other Languages (TESOL) course combines theoretical academic study with practical application and skills development in English language teaching. Our course provides advanced training for TESOL professionals, and examines the latest developments in TESOL methodology and related issues. You'll develop the practical and professional skills involved in TESOL, along with the ability to analyse and apply theoretical perspectives to practical situations.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2024-25/january/part-time-day/teaching-english-to-speakers-of-other-languages-tesol-ma
"Software Engineering (Conversion) MSc - Courses | University of Westminster, London","£10,500","£17,000",1 year,"Cavendish, Central London","Aimed at non-computing graduates, this course provides the core and most advanced practical knowledge and skills that a professional software engineer needs to be successful in today’s IT industry.",https://www.westminster.ac.uk/computer-science-and-engineering-courses/2024-25/january/full-time/software-engineering-conversion-msc
"Software Engineering (Conversion) MSc - Courses | University of Westminster, London","£1,200","£1,900",2 years,"Cavendish, Central London","Aimed at non-computing graduates, this course provides the core and most advanced practical knowledge and skills that a professional software engineer needs to be successful in today’s IT industry.",https://www.westminster.ac.uk/computer-science-and-engineering-courses/2024-25/january/part-time-day/software-engineering-conversion-msc
"Real Estate Development MSc - Courses | University of Westminster, London","£14,500","£17,000",1 year,"Marylebone, Central London","Informed by our extensive commercial and professional partnerships within the property sector, this practical Master’s course will prepare you to adapt and excel within the complex and ever-changing real estate market – from valuation and appraisal to the strategic management and development of commercial and residential property assets.",https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2024-25/january/full-time/real-estate-development-msc
"Economic Policy and Analysis MSc - Courses | University of Westminster, London","£11,500","£13,000",1 year,"Marylebone, Central London","Economics is more relevant than ever to understand contemporary events in the global economy and provide the tools and techniques for business and governments to analyse and interpret the issues and problems they face. Reflecting the needs of both private and public sector employers, our highly practical MSc prepares you to assess business problems, interpret public policy and effectively communicate the insights that economic analysis can provide.",https://www.westminster.ac.uk/economics-courses/2024-25/january/full-time/economic-policy-and-analysis-msc
"International Human Resource Management MA - Courses | University of Westminster, London","£11,500","£14,000",1 year,"Marylebone, Central London","Accredited by the Chartered Institute of Personnel Development (CIPD), this specialist course focuses on international human resource management (HRM). As globalisation encourages companies to operate and trade in multiple locations, and provides more opportunities for staff to work abroad, managing and developing people has never been more critical – or complex. On our MA, you’ll learn to appreciate the unique challenges of international HRM – from the cultural, legal and economic differences to remote relationship building.",https://www.westminster.ac.uk/business-and-management-courses/2024-25/january/full-time/international-human-resource-management-ma
"Sustainability Management and Innovation MSc - Courses | University of Westminster, London","£12,500","£17,000",1 year,"Marylebone, Central London","Biologists claim we’re living through the sixth mass extinction of species, while climate scientists suggest there’s little more than a decade to cut the risk of extreme heat, drought, floods and extreme poverty. Sustainability is the most pressing concern of the 21st century. Companies across the globe are being forced to consider their impact on people and the planet to achieve the outcomes of the UN Sustainable Development Goals (SDGs) and Paris Climate Agreement.",https://www.westminster.ac.uk/business-and-management-courses/2024-25/january/full-time/sustainability-management-and-innovation-msc
"Data and Marketing Analytics MSc - Courses | University of Westminster, London","£16,500","£19,000",1 year,"Marylebone, Central London","Our Data and Marketing Analytics MSc addresses contemporary business challenges, focusing on data-driven decision-making for marketing success.",https://www.westminster.ac.uk/marketing-courses/2024-25/january/full-time/data-and-marketing-analytics-msc
"Entrepreneurship, Innovation and Enterprise Development MSc - Courses | University of Westminster, London","£16,500","£19,000",1 year,"Marylebone, Central London","On our exciting Master’s programme, you’ll experience first-hand what it’s like to innovate, solving real-life problems and coming up with smart solutions. Inspired by serial entrepreneurs and our academic experts, you will cultivate your entrepreneurial mindset, improving your ability to identify viable business opportunities – whether you launch your own enterprise or support others to do so.",https://www.westminster.ac.uk/business-and-management-courses/2024-25/january/full-time/entrepreneurship-innovation-and-enterprise-development-msc
"History BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London","History remains among the most fascinating and best-loved of the arts and social science disciplines. At Westminster, our focus is on History as a subject that is relevant to everybody. We teach in a truly global framework, listening to previously marginalised voices and questioning long-standing beliefs surrounding power and identity, putting our degree at the cutting edge of the discipline.",https://www.westminster.ac.uk/history-courses/2025-26/september/part-time-day/history-ba-honours
"Arabic and Linguistics BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London",Our Arabic and Linguistics BA trains you to be a competent linguist ready to enter graduate employment.,https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/arabic-and-linguistics-ba-honours
"Chinese and Linguistics BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London",Our Chinese and Linguistics BA trains you to be a competent linguist ready to enter graduate employment.,https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/chinese-and-linguistics-ba-honours
"Criminology BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London","With crime frequently in the news and increasingly an important issue, criminology has never been more relevant. The Criminology BA Honours aims to enthuse, inspire and equip you with the skills for a successful career in today's competitive job market.",https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/part-time-day/criminology-ba-honours
"French and Linguistics BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London",Our French and Linguistics BA trains you to be a competent linguist ready to enter graduate employment.,https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/french-and-linguistics-ba-honours
"Pharmaceutical Science MSc - Courses | University of Westminster, London","£10,700","£17,600",1 year,"Cavendish, Central London","The Pharmaceutical Sciences MSc is a contemporary, applied course designed to provide you with a systematic and critical understanding of key aspects at the forefront of drug design, biotherapeutics, manufacturing, quality control, formulation, drug delivery, regulation and clinical trials.",https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/pharmaceutical-science-msc
"Pharmaceutical Science MSc - Courses | University of Westminster, London","£1,070","£1,750",2 years,"Cavendish, Central London","The Pharmaceutical Sciences MSc is a contemporary, applied course designed to provide you with a systematic and critical understanding of key aspects at the forefront of drug design, biotherapeutics, manufacturing, quality control, formulation, drug delivery, regulation and clinical trials.",https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day/pharmaceutical-science-msc
"Arabic and International Relations BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London","Our Arabic and International Relations course focuses on questions of governance, democracy and human rights, while training competent Arabic linguists ready to enter graduate employment.",https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/arabic-and-international-relations-ba-honours
"Chinese and International Relations BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London","Our Chinese and International Relations course focuses on questions of governance, democracy and human rights while training competent Chinese linguists ready to enter graduate employment.",https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/chinese-and-international-relations-ba-honours
"French and International Relations BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London","Our French and International Relations course focuses on questions of governance, democracy and human rights, while training competent French linguists ready to enter graduate employment.",https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/french-and-international-relations-ba-honours
"Spanish and International Relations BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London","Our Spanish and International Relations course focuses on questions of governance, democracy and human rights while training competent Spanish linguists ready to enter graduate employment.",https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/spanish-and-international-relations-ba-honours
"Spanish and Linguistics BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London",Our Spanish and Linguistics BA trains you to be a competent linguist ready to enter graduate employment.,https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/spanish-and-linguistics-ba-honours
"Sociology BA Honours - Courses | University of Westminster, London","£1,540","£2,830",4 years,"Regent, Central London","Choose Sociology at the University of Westminster and you'll never think about society in the same way again. Studying with us means engaging with a dynamic 21st-century subject and exploring current social issues and debates, using the latest research methods.",https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/part-time-day/sociology-ba-honours
"Applied Biomedical Science BSc Honours - Courses | University of Westminster, London","£1,540","£2,830",4 years,"Cavendish, Central London","Our Applied Biomedical Science BSc offers an integrated approach to the study of human health and disease, with an emphasis on the diagnosis and understanding of disease processes from a medical diagnostic perspective. This course is only open to you if you are employed in a suitable accredited biomedical laboratory able to support work-based learning, and you'll need a written statement of support from your employer.",https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day-release/applied-biomedical-science-bsc-honours
"Data and Marketing Analytics MSc - Courses | University of Westminster, London","£16,700","£19,500",1 year,"Marylebone, Central London","Our Data and Marketing Analytics MSc addresses contemporary business challenges, focusing on data-driven decision-making for marketing success.",https://www.westminster.ac.uk/marketing-courses/2025-26/september/full-time/data-and-marketing-analytics-msc
"Creative and Professional Writing BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6-7 years,"Regent, Central London","Writing is everywhere. From the films we watch, the TV we stream and the books we read, to the social media posts we write, the marketing pitches that surround us and the news stories we receive across print and digital formats. Increasingly too, that writing is not produced by people, but by AI.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-and-professional-writing-ba-honours
"Creative Writing and English Literature BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6 years,"Regent, Central London",Our Creative Writing and English Literature BA combines the study of literary and non-literary texts in English with the development of your own creative writing skills.,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-and-english-literature-ba-honours
"English Literature and History BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6 years,"Regent, Central London","This is an exciting, interdisciplinary degree at the heart of the humanities. It allows you to explore a wealth of literary texts while thinking deeply about the circumstances of their production and reception, and to learn about a range of events, themes and ideas in history and consider the literary and cultural responses to them.",https://www.westminster.ac.uk/english-and-creative-writing-history-courses/2025-26/september/part-time-day/english-literature-and-history-ba-honours
"Fashion Photography BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6-7 years,"Harrow, North-West London","Our Fashion Photography BA has been designed to meet the industry’s demand for well-trained and agile graduates. The course provides both deep disciplinary knowledge, and a broad range of photographic skills across various forms of analogue, digital and emerging media. Combining the success and legacy of photography as a discipline at Westminster with fashion practices, you’ll be equipped with the confidence, flexibility, and skills to develop careers within this competitive industry.",https://www.westminster.ac.uk/art-design-and-visual-culture-fashion-media-and-communication-courses/2025-26/september/part-time-day/fashion-photography-ba-honours
"History and Politics BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London","History and Politics are deeply complementary disciplines: history (and the writing of history) is entrenched in politics and political frameworks, while contemporary politics and political institutions, organisations and movements can only be fully understood when examined in longer historical patterns. Combining these subjects equips you with the analytical tools to explore and understand societies, both past and present.",https://www.westminster.ac.uk/history-politics-and-international-relations-courses/2025-26/september/part-time-day/history-and-politics-ba-honours
"Languages and Translation BA Honours - Courses | University of Westminster, London","£1,540","£2,830",5 years,"Regent, Central London","Our Languages and Translation BA Honours will give you the skills, knowledge and competencies to build a career as a professional translator.",https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/languages-and-translation-ba-honours
"Law LLB Honours - Courses | University of Westminster, London","£1,540","£2,830",4 years,"Regent, Central London","Studying Law at Westminster will place you on a pathway to excellence. From your first day with us, you will be encouraged to express your ideas, voice, and identity through legal endeavour. In addition to teaching core legal skills, you will study new and emerging areas of law and legal practice, to help you stay ahead. Throughout your degree, you can define your learning pathway by choosing from a large number of specialist modules.",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day/law-llb-honours
"Creative Writing and English Language BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6 years,"Regent, Central London","Our Creative Writing and English Language BA combines the opportunity to improve your writing skills with the development of a thorough knowledge and understanding of the structure, history and usage of the English language.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-and-english-language-ba-honours
"English Literature and Language BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6 years,"Regent, Central London",Our English Literature and Language BA gives you the opportunity to study English literature by focusing on both the wider social context and the language that is being used.,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-literature-and-language-ba-honours
"English Literature BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6 years,"Regent, Central London","Our English Literature BA gives you an opportunity to study English literature in its wider social, cultural, and historical contexts.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-literature-ba-honours
"English Language and Linguistics BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6 years,"Regent, Central London","On this course, you'll study one of the key aspects of being human – our ability to use language.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-language-and-linguistics-ba-honours
"English Language and International Communication BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6 years,"Regent, Central London",Our English Language and International Communication BA develops your understanding of the English language and the complexities of all forms of communication in order to help you thrive in a professional international context.,https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/part-time-day/english-language-and-international-communication-ba-honours
"Fine Art Mixed Media BA Honours - Courses | University of Westminster, London","£1,540","£2,830",4 years,"Harrow, North-West London","Our innovative Fine Art Mixed Media BA will give you the opportunity to explore and develop work across boundaries, within the ever-expanding contemporary fine art disciplines.",https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/fine-art-mixed-media-ba-honours
"Culture, Environment and Social Change BA Honours - Courses | University of Westminster, London","£1,540","£2,830",6-7 years,"Regent, Central London","The Culture, Environment and Social Change BA will enable you to explore the most important issues in the world today. Ranging from climate change and resource depletion to mass migration and social inequality, you’ll examine critical issues from a variety of disciplinary perspectives in order to make sense of a complex and dynamically changing world at a variety of different scales.",https://www.westminster.ac.uk/criminology-and-sociology-english-and-creative-writing-politics-and-international-relations-courses/2025-26/september/part-time-day/culture-environment-and-social-change-ba-honours
"Photography BA Honours - Courses | University of Westminster, London","£1,540","£2,830",4 years,"Harrow, North-West London","Our Photography BA is a long-established course with an excellent international reputation for academic and practical teaching. The course builds upon the success and legacy of photography as a discipline at Westminster, whilst implementing an updated and innovative curriculum, which explores and productively engages with emerging digital technologies and commercial practices.",https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/photography-ba-honours
"Sociology and Criminology BA Honours - Courses | University of Westminster, London","£1,540","£2,830",4 years,"Regent, Central London","Immigration, crime, social injustice and youth unemployment make headline news almost daily. These are the key issues of our time. If you’re interested in such issues, and want to understand how societal structures impact on people's everyday lives and interactions, or how criminal justice relates to social justice, then you should consider studying sociology and criminology. Combined, these two disciplines develop your sociological and criminological imagination and answer questions about society and its various institutions.",https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/part-time-day/sociology-and-criminology-ba-honours
"Architecture and Environmental Design with Foundation BSc Honours - Courses | University of Westminster, London","£9,250","£17,000",4 or 5 years,"Marylebone, Central London",Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-with-foundation-bsc-honours
"Animation with Foundation BA Honours - Courses | University of Westminster, London","£9,250","£17,000",4 or 5 years,"Harrow, North-West London",Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.,https://www.westminster.ac.uk/art-design-and-visual-culture-film-and-television-media-and-communication-courses/2025-26/september/full-time/animation-with-foundation-ba-honours
"Architecture with Foundation BA Honours - Courses | University of Westminster, London","£9,250","£17,000",4 or 5 years,"Marylebone, Central London",Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-with-foundation-ba-honours
"Architectural Technology with Foundation BSc Honours - Courses | University of Westminster, London","£9,250","£17,000",4 or 5 years,"Marylebone, Central London",Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-with-foundation-bsc-honours
"Biochemistry with Foundation BSc Honours - Courses | University of Westminster, London","£9,250","£17,000",4 or 5 years,"Cavendish, Central London",Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.,https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biochemistry-with-foundation-bsc-honours
"Biomedical Science with Foundation BSc Honours - Courses | University of Westminster, London","£9,250","£17,000",4 or 5 years,"Cavendish, Central London","Our degree courses with foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our foundation year in order to progress onto their full honours degree with us.",https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biomedical-science-with-foundation-bsc-honours
